Names,avgILMdiff,avgIPLINLdiff,avgINLOPLdiff,avgRPEdiff
Skan_nr_1.mat,2.11948051948052,16.7766233766234,18.9844155844156,0.641558441558442
Skan_nr_10.mat,2.06233766233766,15.5506493506494,18.3220779220779,0.483116883116883
Skan_nr_100.mat,2.14025974025974,4.65454545454545,6.49090909090909,0.638961038961039
Skan_nr_101.mat,2.28831168831169,16.6597402597403,20.8285714285714,0.664935064935065
Skan_nr_102.mat,2.02857142857143,12.6883116883117,15.5818181818182,0.761038961038961
Skan_nr_103.mat,2.26493506493506,19.7012987012987,24.0493506493507,0.649350649350649
Skan_nr_104.mat,2.3012987012987,13.4779220779221,15.2597402597403,0.657142857142857
Skan_nr_105.mat,2.09090909090909,11.4545454545455,12.7974025974026,0.65974025974026
Skan_nr_106.mat,2.21818181818182,6.53506493506494,7.1038961038961,0.854545454545454
Skan_nr_107.mat,2.43636363636364,12.2,14.6493506493506,0.748051948051948
Skan_nr_108.mat,2.32467532467532,10.7064935064935,12.2935064935065,0.724675324675325
Skan_nr_109.mat,2.34545454545455,12.961038961039,14.6519480519481,0.701298701298701
Skan_nr_11.mat,2.28311688311688,8.67532467532468,9.97402597402597,0.618181818181818
Skan_nr_110.mat,2.53766233766234,4.4987012987013,5.59220779220779,0.644155844155844
Skan_nr_111.mat,2.08311688311688,13.7298701298701,15.5688311688312,0.916883116883117
Skan_nr_112.mat,2.0051948051948,13.3506493506494,15.6493506493506,0.78961038961039
Skan_nr_113.mat,2.23376623376623,12.412987012987,14.1714285714286,1.23116883116883
Skan_nr_114.mat,2.35844155844156,7.39480519480519,8.12727272727273,0.745454545454545
Skan_nr_115.mat,2.17662337662338,20.7090909090909,24.612987012987,0.885714285714286
Skan_nr_116.mat,2.48571428571429,14.4883116883117,16.4779220779221,0.485714285714286
Skan_nr_117.mat,2.6025974025974,19.8,23.1532467532468,0.594805194805195
Skan_nr_118.mat,2.58181818181818,18.1038961038961,20.7324675324675,0.828571428571429
Skan_nr_119.mat,2.57662337662338,3.1974025974026,3.2987012987013,0.703896103896104
Skan_nr_12.mat,2.27012987012987,3.52987012987013,4.98441558441558,1.02337662337662
Skan_nr_120.mat,2.42857142857143,18.2753246753247,20.3428571428571,0.724675324675325
Skan_nr_121.mat,2.18181818181818,3.81818181818182,3.89090909090909,1.96623376623377
Skan_nr_122.mat,2.32987012987013,14.9662337662338,17.3428571428571,0.623376623376623
Skan_nr_123.mat,2.16363636363636,13.5012987012987,15.4649350649351,2.65714285714286
Skan_nr_124.mat,2.5038961038961,6.80519480519481,6.64155844155844,0.774025974025974
Skan_nr_125.mat,2.47272727272727,18.1636363636364,20.5402597402597,2.34805194805195
Skan_nr_126.mat,2.65454545454545,17.8077922077922,20.0337662337662,0.766233766233766
Skan_nr_127.mat,2.46233766233766,3.71428571428571,5.01298701298701,1.22597402597403
Skan_nr_128.mat,2.42857142857143,16.6571428571429,18.412987012987,1.2
Skan_nr_129.mat,2.65974025974026,16.761038961039,18.0519480519481,0.914285714285714
Skan_nr_13.mat,2.77142857142857,14.8623376623377,17.4441558441558,0.867532467532467
Skan_nr_130.mat,2.2961038961039,18.0623376623377,20.5012987012987,1.01558441558442
Skan_nr_131.mat,2.6025974025974,19.4467532467532,22.2597402597403,0.948051948051948
Skan_nr_132.mat,2.98701298701299,13.3636363636364,15.0961038961039,1.76363636363636
Skan_nr_133.mat,2.52727272727273,15.2935064935065,17.5324675324675,0.945454545454545
Skan_nr_134.mat,2.1974025974026,18.6701298701299,20.5766233766234,0.812987012987013
Skan_nr_135.mat,2.11948051948052,16.9584415584416,18.6285714285714,0.664935064935065
Skan_nr_136.mat,2.52467532467532,19.7584415584416,22.7246753246753,0.638961038961039
Skan_nr_137.mat,2.48311688311688,14.4727272727273,16.5844155844156,2.19480519480519
Skan_nr_138.mat,2.47012987012987,8.68831168831169,8.85974025974026,1
Skan_nr_139.mat,2.00779220779221,19.0857142857143,21.6233766233766,1.01558441558442
Skan_nr_14.mat,2.18701298701299,9.8,11.3246753246753,0.831168831168831
Skan_nr_140.mat,2.56103896103896,17.2623376623377,19.6051948051948,1.14285714285714
Skan_nr_141.mat,2.19220779220779,18.4883116883117,20.9792207792208,2.18181818181818
Skan_nr_15.mat,2.4,13.0155844155844,15.2701298701299,0.924675324675325
Skan_nr_16.mat,2.40519480519481,11.3948051948052,12.7428571428571,0.8
Skan_nr_17.mat,2.21558441558442,12.0961038961039,13.7402597402597,0.755844155844156
Skan_nr_18.mat,2.48571428571429,14.7142857142857,17.6441558441558,0.896103896103896
Skan_nr_19.mat,2.11428571428571,16.4649350649351,19.4467532467532,0.732467532467532
Skan_nr_2.mat,2.07012987012987,15.9064935064935,18.2727272727273,0.88051948051948
Skan_nr_20.mat,2.34025974025974,3.17662337662338,4.36363636363636,0.623376623376623
Skan_nr_21.mat,2.5038961038961,10.0441558441558,11.8779220779221,0.706493506493507
Skan_nr_22.mat,2.3012987012987,8.61558441558442,10.7766233766234,1.44415584415584
Skan_nr_23.mat,2.25194805194805,7.36103896103896,9.98181818181818,0.992207792207792
Skan_nr_24.mat,2.38961038961039,2.52207792207792,3.27792207792208,0.742857142857143
Skan_nr_25.mat,2.19480519480519,2.67272727272727,4.12467532467532,1.45974025974026
Skan_nr_26.mat,2.76103896103896,8.47272727272727,9.97402597402597,0.667532467532468
Skan_nr_27.mat,2.56883116883117,6.02597402597403,8.08051948051948,0.807792207792208
Skan_nr_28.mat,2.77402597402597,9.05974025974026,11.2597402597403,0.724675324675325
